"#","Company","Industry","Type","Location","Profile URL"
"816","Shahe Yuankuan Fasteners Co., Ltd","Residential Building Construction","Independent","Xingtai, Hebei, China","https://dnb.com/business-directory/company-profiles/shahe-yuankuan-fasteners-co-ltd.fa9a1df43138333cee52441be939bd02"
"817","Sichuan Jingcheng Zhishang Construction ...","Residential Building Construction","Independent","Suining, Sichuan, China","https://dnb.com/business-directory/company-profiles/sichuan-jingcheng-zhishang-construction-labor-services-co-ltd.71a61d5ab7c267208c9d2b16dc257906"
"818","Hubei Jianzhirui Fire Protection Technol...","Residential Building Construction","Independent","Wuhan, Hubei, China","https://dnb.com/business-directory/company-profiles/hubei-jianzhirui-fire-protection-technology-co-ltd.236bd511b5601d500b2d33ccd63adc5b"
"819","Weifang Wanying Culture Media Co., Ltd","Residential Building Construction","Independent","Weifang, Shandong, China","https://dnb.com/business-directory/company-profiles/weifang-wanying-culture-media-co-ltd.ca2c096b4e5a312359b8e1802e5cc144"
"820","QUANG NINH FIRE PROTECTION TRADING SUPPL...","Machinery, Equipment, and Supplies Merchant Wholesalers","Independent","Ha Long, Quang Ninh, Vietnam","https://dnb.com/business-directory/company-profiles/quang-ninh-fire-protection-trading-supply-joint-stock-company.39c557b6c30624ddd7c4da797928fd04"
"821","Carpet Capital Fire Protection Inc","Building Equipment Contractors","Parent","Dalton, GA, United States","https://dnb.com/business-directory/company-profiles/carpet-capital-fire-protection-inc.beb0fa97fcf63d399bcf1003f8f994e6"
"822","Northern California Fire Protection Serv...","Building Equipment Contractors","Independent","Gilroy, CA, United States","https://dnb.com/business-directory/company-profiles/northern-california-fire-protection-services.ff1449f5cb939df9ace0ee51c7963148"
"823","Zhongjian Hua'an Construction Group Co.,...","Other Specialty Trade Contractors","Parent","Zhuhai, Guangdong, China","https://dnb.com/business-directory/company-profiles/zhongjian-huaan-construction-group-co-ltd.f8ef8d570581c2426a06872b5e4f222d"
"824","Liaocheng Kaifaqu Xiang'An Fire Fighting...","Residential Building Construction","Independent","Liaocheng, Shandong, China","https://dnb.com/business-directory/company-profiles/liaocheng-kaifaqu-xiangan-fire-fighting-engineering-co-ltd.3d9643aa2205e1c1607ed6036abae73c"
"825","Sni Valley Fire Protection District","Justice, Public Order, and Safety Activities","Independent","Oak Grove, MO, United States","https://dnb.com/business-directory/company-profiles/sni-valley-fire-protection-district.3c45a58aae0e178ad3823b15c2a3d8e6"
"826","TRUESERVE FIRE PROTECTION SYSTEMS","Building Equipment Contractors","Independent","Umm Salal, Umm Salal, Qatar","https://dnb.com/business-directory/company-profiles/trueserve-fire-protection-systems.dbb0e68176cc0793e683aa59da794403"
"827","M.A. Fire Protection Ltd.","Building Equipment Contractors","Independent","KIRYAT GAT, Southern District, Israel","https://dnb.com/business-directory/company-profiles/ma-fire-protection-ltd.d7662f5c39504c9f359ea31f3e7bff1b"
"828","Yahav Fire Protection Ltd.","Other Specialty Trade Contractors","Independent","TIRAT YEHUDA, Central District, Israel","https://dnb.com/business-directory/company-profiles/yahav-fire-protection-ltd.6cc018cf656b64595e2be0066ac97750"
"829","BAR - Industrial Insulation, Scaffolding...","Other Specialty Trade Contractors","Independent","SHACHAR, Southern District, Israel","https://dnb.com/business-directory/company-profiles/bar---industrial-insulation-scaffolding-and-fire-protection-ltd.96a908bb247015bf235d1689b349f698"
"830","FIRESEAL ACTIVE AND PASSIVE FIRE PROTECT...","Building Equipment Contractors","Independent","Manama, Al Asimah, Bahrain","https://dnb.com/business-directory/company-profiles/fireseal-active-and-passive-fire-protection-wll.fe48f80883307f605782e54d4b632608"
"831","Chengdu Kuai'anjie Security Testing Serv...","Residential Building Construction","Independent","Chengdu, Sichuan, China","https://dnb.com/business-directory/company-profiles/chengdu-kuaianjie-security-testing-service-co-ltd.8c7ea462c83beee223b619dd5898d056"
"832","Senju Fire Protection Corporation","Other General Purpose Machinery Manufacturing","Independent","Irvine, CA, United States","https://dnb.com/business-directory/company-profiles/senju-fire-protection-corporation.dcf72c0cbca227abf20ce9e0204a9640"
"833","ATLANTIS FIRE PROTECTION LLC","Other Support Services","Parent","Dallas, TX, United States","https://dnb.com/business-directory/company-profiles/atlantis-fire-protection-llc.d61a95e6c35d5e80d05aad4338e77ce7"
"834","PYROTEC FIRE PROTECTION LIMITED","Justice, Public Order, and Safety Activities","Subsidiary","LEWES, England, United Kingdom","https://dnb.com/business-directory/company-profiles/pyrotec-fire-protection-limited.d139bf19561721c6beb0133bdd571a60"
"835","Oneida Fire Protection, Incorporated","Other Support Services","Independent","Philadelphia, PA, United States","https://dnb.com/business-directory/company-profiles/oneida-fire-protection-incorporated.7895e3ec93c16959cd762ec5df5faf43"
"836","D B MCLARNON FIRE PROTECTION AGENCY LTD","Justice, Public Order, and Safety Activities","Subsidiary","BELFAST, Northern Ireland, United Kingdom","https://dnb.com/business-directory/company-profiles/d-b-mclarnon-fire-protection-agency-ltd.d27a67e7ac3c7c8f070b5a33038ad76d"
"837","Shenzhen Jianbao Construction Engineerin...","Foundation, Structure, and Building Exterior Contractors","Parent","Shenzhen, Guangdong, China","https://dnb.com/business-directory/company-profiles/shenzhen-jianbao-construction-engineering-co-ltd.cb68264641039a759f00f26e9a605bcc"
"838","JR & BM PTY LTD","Other Investment Pools and Funds","Independent","KINCUMBER, NEW SOUTH WALES, Australia","https://dnb.com/business-directory/company-profiles/jr--bm-pty-ltd.d026c7e4df1d7d4de721a19eb1b06ffa"
"839","Nanle County Weidun Fire And Security Sy...","Residential Building Construction","Independent","Puyang, Henan, China","https://dnb.com/business-directory/company-profiles/nanle-county-weidun-fire-and-security-system-engineering-co-ltd.6cf6a17a49eed8820cab35cebfefee2a"
